name,0,1,2,3,4,5
もりのなかま保育園 北砂園,残3,,,,,
Milky Way International Nursery School 北砂校,残4,26 【優】,ー,,ー,残4
砂町友愛園,20,16 【優】,残4,残8,残1,残4
小鳩スマート保育所北砂,残4,残2,残1,,,
にじいろ保育園 北砂,17,26 【優】,なし,なし,残4,残 11
小名木川第二,24 【優】,26 【優】,24,16 【優】,残4,残3
亀高,残5,26 【優】,24,残3,残4,残5
亀高第二,なし,26 【優】,24 【優】,残2,残2,
みらいく北砂園,残1,残1,残2,残6,残 10,残 10
東砂第三,24 【優】,17,残7,ー,残4,残3
東砂第二,,残3,残3,残6,残2,残2
東砂,,残5,残1,残5,残3,
マミー保育園東砂,,残 11,,なし,残2,残3
みらいく東砂園,なし,残2,残2,残2,残4,残9
ともしび,残7,16 【優】,,ー,残1,残2
もりのなかま保育園 東砂園,残6,残3,残2,,,
東砂第四,,残5,残2,なし,,残3
にじいろ保育園 東砂,なし,18,,残2,残 14,残 20
キッズスマイル江東東砂,,26 【優】,24 【優】,,残3,残5
南砂あら川,,26 【優】,残2,26 【優】,残7,残8
南砂第二,24 【優】,26 【優】,残1,24,なし,残1
南砂第三,,26 【優】,ー,26 【優】,16 【優】,残1
南砂第四,22,26 【優】,なし,22,残1,残2
南砂第五,残3,16 【優】,ー,,,
ドリームキッズランド,,18,,,,
太陽の子 南砂2丁目,24 【優】,26,なし,なし,なし,残1
南砂町,24,26 【優】,20,18,残3,
グローバルキッズ南砂園,20,26 【優】,22,17,,
南砂第一,,24,22,残1,,残2
ルーチェ保育園 南砂,17,16 【優】,残1,,,
南砂さくら,16 【優】,26 【優】,18,26 【優】,,残1
おはよう保育園 南砂町,22,24,なし,なし,ー,残2
城東,24 【優】,26 【優】,なし,なし,,残1
八幡,,21,残3,残2,,
新砂,24 【優】,26 【優】,27 【優】,17,,
